A�o,trimestre,fgt0,fgt1,fgt2,a25,a50,a75,ingreso_promedio,salario
1990,1,,,,,,,,39
1990,2,0.851093368933194,0.574729558856015,0.464264437452732,0.181479354988797,0.399271077051862,0.719143807336922,36.7272948561384,39
1990,3,0.876596650957901,0.595024409532508,0.478610006134891,0.177817735053497,0.392117410417371,0.71039784885822,33.7575241060727,39
1990,4,0.882441946328968,0.606870450444193,0.491271356266642,0.182827466039019,0.402338409097536,0.723721116885008,32.8484205098907,39
1991,1,0.611045228296282,0.277652192608794,0.164679126522623,0.0965510873766817,0.181786355148901,0.257899967058975,78.6241413527174,36
1991,2,0.647719954188953,0.307525500444338,0.185074189990262,0.0961084573477704,0.180954963545593,0.256713848482267,72.0029582348208,36
1991,3,0.658518147074428,0.315124186860388,0.19086680107846,0.0958434369917459,0.180666920389694,0.256680362118316,70.2093647433226,36
1991,4,0.715196010023741,0.361614299584356,0.225324546543279,0.0963526389929202,0.18139036812064,0.257258730597982,61.9521057760019,36
1992,1,0.535835769351455,0.229318470584222,0.129597167783755,0.0885313214574387,0.167217866957181,0.23816955597973,87.6351032514472,30
1992,2,0.583540391029614,0.256848032205696,0.147396110388951,0.0889353342214769,0.167838699637921,0.238840042293608,80.6035800227419,40
1992,3,0.646969918190985,0.307574068694293,0.183796614588118,0.0886213119897537,0.167551883621569,0.238892323929737,69.0762747245687,40
1992,4,0.716134254524943,0.351995112636794,0.216750124386578,0.0891630327068071,0.168280325516459,0.239491281952525,61.1351128395311,40
1993,1,0.50804775409235,0.218286326574256,0.125836495791583,0.102378952885036,0.189690911518683,0.266170015550844,95.4960511710605,32
1993,2,0.522419116185805,0.225927435961096,0.13073204350777,0.102360392226686,0.18963446397884,0.266062322538936,93.4109772789311,34
1993,3,0.524578204051571,0.230798959628951,0.134503883678262,0.102017794917066,0.189139489399945,0.265552470174382,91.6578015353257,34
1993,4,0.560684810699666,0.24740043951206,0.144824542374532,0.102201055174839,0.189477266555288,0.266016587408408,87.1502287200881,34
1994,1,0.433575583565254,0.177166708761024,0.0985953606504207,0.103300553782009,0.190259234073597,0.265331147863135,110.668836294966,32
1994,2,0.446544247116909,0.185817763595502,0.104346175290112,0.103160985068075,0.190329469284615,0.265902898421775,107.786570688192,32
1994,3,0.462462973608371,0.195625523065998,0.11093964650266,0.103569915783683,0.190988892278488,0.266639066111285,103.642708821267,32
1994,4,0.478953265390705,0.205002508034054,0.11701282793705,0.103654622684737,0.191258594644083,0.267166049826805,100.947670731837,32
1995,1,0.343551323511547,0.128929672258349,0.0691050965061298,0.0917451455323223,0.171122738484691,0.241386109417819,130.526525808171,32
1995,2,0.357094199156022,0.133983684467375,0.0714828042593711,0.0906548897908248,0.169038875772626,0.238359294089541,125.809004613735,33
1995,3,0.39304604725801,0.149681324801664,0.0800522863992426,0.0921106372050697,0.17147532451125,0.241360837659274,119.468081410638,33
1995,4,0.438931496498302,0.174769819660778,0.0954477011305248,0.092183357750353,0.17173755680653,0.241980972827179,108.501306251754,33
1996,1,0.325381240933315,0.131106457428339,0.0727783408748359,0.0841230227233539,0.160791640482662,0.231406068665274,127.740381082443,30
1996,2,0.347666793975281,0.139979232610009,0.0781012689017803,0.0840893604448725,0.160819446947481,0.231576412022991,122.505355691957,30
1996,3,0.376149732830864,0.150228735522369,0.0833415539334634,0.0840513311843058,0.160552141561423,0.230899762270315,116.647702340726,30
1996,4,0.405607209256526,0.169077996527326,0.0949521581635939,0.084140346529271,0.160698149907679,0.231068720522807,107.560387917482,30
